"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"Bob Repine Investments","","Oregon","SALEM","MARION","","97302","","","2018","$1,357","$0","$1,357","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Sol-Sisters Inc","","Oregon","Independence","Polk","","97351","","","2018","$1,386","$0","$1,386","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,392","$0","$1,392","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Meadowlark Capital LLC","","Oregon","Keizer","MARION","","97303","","","2018","$1,418","$0","$1,418","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Sol-Sisters Inc","","Oregon","Independence","Polk","","97351","","","2018","$1,439","$0","$1,439","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Elizabeth Eck","","Oregon","SALEM","MARION","","97302","","","2018","$1,475","$0","$1,475","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Guy Glennie","","Oregon","SALEM","MARION","","97317","","","2018","$1,485","$0","$1,485","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Tigard","Washington","","97224","","","2018","$1,487","$0","$1,487","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,502","$0","$1,502","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,510","$0","$1,510","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,512","$0","$1,512","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97701","","","2018","$1,520","$0","$1,520","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97701","","","2018","$1,521","$0","$1,521","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97702","","","2018","$1,521","$0","$1,521","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97702","","","2018","$1,521","$0","$1,521","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Lester Margosian","","Oregon","SALEM","MARION","","97301","","","2018","$1,525","$0","$1,525","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,541","$0","$1,541","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,598","$0","$1,598","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97701","","","2018","$1,599","$0","$1,599","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Bend","Deschutes","","97702","","","2018","$1,601","$0","$1,601","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Murray O'Neil","","Oregon","SALEM","MARION","","97302","","","2018","$1,610","$0","$1,610","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Burkhardt Gallery","","Oregon","CLOVERDALE","TILLAMOOK","","97112","","","2018","$1,610","$0","$1,610","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Oregon City","Clackamas","","97045","","","2018","$1,619","$0","$1,619","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,641","$0","$1,641","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97701","","","2018","$1,641","$0","$1,641","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Washington","","97229","","","2018","$1,643","$0","$1,643","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","MULTNOMAH","","97221","","","2018","$1,644","$0","$1,644","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","POWELL BUTTE","CROOK","","97753","","","2018","$1,645","$0","$1,645","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Irene & John Konopasek","","Oregon","SALEM","POLK","","97304","","","2018","$1,651","$0","$1,651","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","POWELL BUTTE","CROOK","","97753","","","2018","$1,655","$0","$1,655","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97701","","","2018","$1,662","$0","$1,662","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","SHERWOOD","WASHINGTON","","97140","","","2018","$1,662","$0","$1,662","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Tanya M Wheeler","","Oregon","SANDY","CLACKAMAS","","97055","","","2018","$1,672","$0","$1,672","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Washington","","97229","","","2018","$1,686","$0","$1,686","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Greg Larson","","Oregon","REDMOND","DESCHUTES","","97756","","","2018","$1,691","$0","$1,691","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,695","$0","$1,695","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,695","$0","$1,695","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97702","","","2018","$1,695","$0","$1,695","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Sherwood","Washington","","97140","","","2018","$1,695","$0","$1,695","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Washington","","97229","","","2018","$1,716","$0","$1,716","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Multnomah","","97202","","","2018","$1,719","$0","$1,719","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,735","$0","$1,735","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,749","$0","$1,749","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Radigan Remodeling","","Oregon","Salem","Marion","","97302","","","2018","$1,750","$0","$1,750","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Doty & Cornwell Properties LLC","","Oregon","SALEM","MARION","","97302","","","2018","$1,750","$0","$1,750","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97701","","","2018","$1,752","$0","$1,752","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","WASHINGTON","","97229","","","2018","$1,754","$0","$1,754","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,765","$0","$1,765","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Oregon City","Clackamas","","97045","","","2018","$1,765","$0","$1,765","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Portland","Washington","","97229","","","2018","$1,765","$0","$1,765","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,765","$0","$1,765","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Multnomah","","97202","","","2018","$1,778","$0","$1,778","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Multnomah","","97213","","","2018","$1,778","$0","$1,778","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Multnomah","","97202","","","2018","$1,778","$0","$1,778","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","MULTNOMAH","","97219","","","2018","$1,778","$0","$1,778","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Imperial Arms","","Oregon","PORTLAND","MULTNOMAH","","97201","","","2018","$1,781","$0","$1,781","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Washington","","97229","","","2018","$1,790","$0","$1,790","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Washington","","97229","","","2018","$1,790","$0","$1,790","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","Portland","Multnomah","","97202","","","2018","$1,796","$0","$1,796","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Everett Custom Homes Inc","","Oregon","PORTLAND","MULTNOMAH","","97202","","","2018","$1,796","$0","$1,796","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stafford Homes & Land LLC","","Oregon","Milwaukie","CLACKAMAS","","97267","","","2018","$1,800","$0","$1,800","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Meadow Outdoor Advertising","","Oregon","ONTARIO","MALHEUR","","97914","","","2018","$1,800","$0","$1,800","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"The Schrier Living Trust","","Oregon","AURORA","MARION","","97002","","","2018","$1,817","$0","$1,817","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","FOREST GROVE","WASHINGTON","","97116","","","2018","$1,829","$0","$1,829","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Bend","Deschutes","","97702","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Bend","Deschutes","","97702","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Forest Grove","Washington","","97116","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Oregon City","Clackamas","","97045","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","Oregon City","Washington","","97045","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","OREGON CITY","CLACKAMAS","","97045","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
"Stone Bridge Homes NW LLC","","Oregon","BEND","DESCHUTES","","97702","","","2018","$1,835","$0","$1,835","Energy Incentive Program","Oregon Department of Energy","tax credit/rebate","","","","","https://data.oregon.gov/Revenue-Expense/2018-Energy-Incentives-Program-EIP-Tax-Credits/5pq8-hh78","Year is fiscal year when certification was issued. Subsidy value is tax credit certification amount.","state","",""," ", "","","","",""
